block_off	str_off	speaker	text
0x0	0x1f8		、、ほほ様でで
0x0	0x23e		ででイイ？？ザゴゴゴ
0x0	0x25e		ででイイ？？ザゴゴゴ
0x0	0x278		誓でで┬ででイイ！！ブブゴゴ
0x0	0x4fd9		スぢちザズや　レロワロロヮロヰヱヱヱヱッヂヂッツヅ地の法皇よ。ヅテテカーネル
0x0	0x5130		だだレイナすだワイバーンィョ？
0x0	0x5292		肪あ！セセー８９ぁ　　　　　　　　　　　　　　　　　　　　指輪だすィづなャはョぅい
0x0	0x5441		みエャャで？ぽぽ
0x0	0x55fd		なエャエで？ら
0x0	0x5605		るャャで？
0x0	0x56e0		だだしたせだしだだだそそししだしだしだナッツ？
0x0	0x59d9		ぱべァがべ松？
0x0	0x5a47		？おぃおが
0x0	0x5ac6		？おけえうぎ
0x0	0x5c11		？ろなびどぴりに
0x0	0x5c9c		？？ベビビビヒヒヒヒヒヒヒヒヒヒヒヒヒヒすすナッツみと´？ョ
0x0	0x5ccf		えこ７？
0x0	0x5d45		ぇざ７？ユくぎ？
0x0	0x5d56		せだせだだだすドビビヒビヒニニニヒヒヒヒヒヒヒヒヒヒナッツゎろなャャで？いれむア
0x0	0x5d80		ぽごむめ？
0x32ce	0x2cfe		フケーヅ⟨1b⟩ヒピじゲニフ⟨1b⟩ニミ！つぢカ
0x32ce	0x355d		ゐパヱぷフネケぷネヱワポパビクヒ！ンク
0x32ce	0x3b89		むネヌはむネヌばはばやばはばやみソは？みソは？みヌむやみヌむやみチ・ソみチ・ソぷ
0x32ce	0x3ce7		・マやむフモ！ゅ
0x32ce	0x4a1c		でわでででででゎででれでれでろでのぬはね、５
0x32ce	0x4a56		イゥゾてォゾヮトヌルブスフサさ。。
0x59c4	0x4c28		、ぽ、ぽ
0x7de8	0x551a		のかヮワワワワワ祁祁ワワワ　デデデ
0x7de8	0x5cfc		ア⟨17⟩⟨17⟩。デデデデデままで杷杷杷杷杷杷ぱそぷあへぞひ　　　　　　．デデデ
0x7de8	0x5f99		魔導の法たる我に力を与えたまえ。ドデデデデデデデデデデデデデデデデデツツ
0xa1d8	0x1a20		ヅ。ヅえナき！えき。きオえきえげ
0xa1d8	0x1ded		ヅ！。モモモパマモモパモママヒゑマゑヒゑゑゑノゑゑゑノよゑゑノ
0xa1d8	0x389c		パパヒヒきえき。パパヒパえききえパメパメ
0xa1d8	0x3943		！メモメモモマモマゑゑゑゑ
0xc2a9	0x5216		く１１１１１１１１１いぃ１１１！
0xc2a9	0x54a0		ぅ１０ぅ１！
0xc2a9	0x55b8		や！バッバ？１０ぅ１１１１０ぅ１う！バ
0xc2a9	0x59c8		、ザぞぞぞぞぞぞぬず
0xc2a9	0x5bc8		５ぃギ１ギぢギンギ！
0xc2a9	0x5d08		ぅ１いぃ１１１１１！
0xc2a9	0x5ed6		く０ぅ１！
0xc2a9	0x60aa		！。補がか
0xc2a9	0x6170		陪ごかおぎくれじ・！
0xc2a9	0x617e		陪ごかおぎくキね・！
0xc2a9	0x618b		Ｇきさかおぎくパじ・！
0xe88d	0x10ec		ょー！き
0xe88d	0x606f		’きごかおぎくキっ・！
0xe88d	0x6084		！いな・
0xe88d	0x6092		！いな・
0xe88d	0x60ae		！かゐ・
0xe88d	0x60bc		！かゐ・
0x1132c	0x4602		ばははぷ、みは
0x1132c	0x4d07		ので\nづ？\nで！ぶつ
0x1132c	0x4d44		ぷで！ぶ醸
0x1132c	0x61a1		でまでまでま
0x1132c	0x61bb		でまでまでま
0x1132c	0x61cb		でまでまでま
0x13bc8	0x1f8		、、ほほ様でで
0x13bc8	0x25e		ででイイ？？ザゴゴゴ
0x13bc8	0x27e		でるょょ？？ブピゴゴ
0x13bc8	0x29e		ででょょ？？ゴゴゴゴ
0x13bc8	0x31e1		してぞしてヮ
0x13bc8	0x3257		ダしてて
0x16c3e	0x33e		ででイイ？？ザゴゴゴ
0x16c3e	0x35e		ででイイ？？ザゴゴゴ
0x16c3e	0x3b8		誓でで┬ででイイ！！ブブゴゴ
0x16c3e	0x422		！！ユユ電まま
0x16c3e	0x3c6f		ョで？ゴョで？ゴヤ
0x16c3e	0x5468		。ヒンッッヰヤヤヨヨヤレヤヨレヰヤュッッュヰュャヱピボペわよょザュッッュレッッ⟨1f⟩執
0x16c3e	0x569d		始っっつ、
0x1c491	0x607c		！ーぐモき
0x1ec74	0x2be		ででイイ？？ザゴゴゴ
0x1ec74	0x2de		ででイイ？？ザゴゴゴ
0x1ec74	0x338		誓でで┬ででイイ！！ブブゴゴ
0x1ec74	0x378		、、ほほ様でで
0x1ec74	0x3b0		３３ズズ犯⟨14⟩⟨14⟩！！ぽぽ犯ぉぉはは
0x1ec74	0x1dac		クあメ、でゼゼダでゼゼダでゼはダゴゼゼダ
0x218ca	0x4967		ひじゃ。
0x218ca	0x5394		庫。ひ惜２ゃゃゃペホゃゃや２誓孫
0x218ca	0x5dc6		誓析９には帽
0x27149	0x130		３３ズズ犯⟨14⟩⟨14⟩！！ぽぽ犯ぉぉはは
0x27149	0x27e		ででイイ？？ザゴゴゴ
0x27149	0x29e		ででイイ？？ザゴゴゴ
0x27149	0x2f8		誓でで┬ででイイ！！ブブゴゴ
0x27149	0x358		、、ほほ様でで
0x27149	0x2285		クあォが仲間から外れた。ォクイクォ５クオオげオがクあククククオォ５ククォククォ５クげあクククォクあク
0x27149	0x60d8		！ーと⟨14⟩き
0x2a217	0x4ad8		ケヌヌ４ネケ３ネパパパケパパパヒぷヂのぷいいいぅままままででめめネヂ３ネヒヒケヒピゥでフハワゆハザをボ２ルムボ２ゐゑヲラワわヰヲででダでワリリワクサザフぺゥでぺブユフモルヮワワフゥやヘヲォム２ルムボ２テ３デ４ワボボテれデゥれテるるサテデデテるよゴンサももゆゃゥでゃンレレワ
0x2cfd2	0x60d1		！一はぶ
0x2f8d9	0x51b0		んんんんむグキケぼんんん、
0x2f8d9	0x5347		んんん、
0x2f8d9	0x546f		んんんんんみェやウほんんんんんんんんんんんん、
0x2f8d9	0x5493		んんんんん、
0x2f8d9	0x568a		んんんんん、
0x2f8d9	0x570c		んんんんん、
0x2f8d9	0x578e		んんんんん、
0x2f8d9	0x581f		んんんんん。
0x2f8d9	0x585c		んんんんんんん、翁ク
0x2f8d9	0x5989		んんんんん、
0x2f8d9	0x5a0c		んんんんん、
0x2f8d9	0x5b40		んんんんん、ー
0x2f8d9	0x5c52		んんんん、
0x2f8d9	0x5c60		んを、ー
0x2f8d9	0x5e2b		んんんんんんんんんみェやウほんんん、Η
